timestamp,wav,transcript,score,explanation
2025-11-10 19:54:04,responses_audio\resp_20251110-195404.wav,,0.000,"sim=0.00, kw=0.00 (0/10)"
2025-11-12 14:37:17,responses_audio\resp_20251112-143717_9589b3.webm,,0.000,"sim=0.00, kw=0.00 (0/10)"
2025-11-12 14:39:26,responses_audio\resp_20251112-143926_c2df43.webm,,0.000,"sim=0.00, kw=0.00 (0/10)"
2025-11-12 14:40:19,responses_audio\resp_20251112-144019_9e25ca.webm,,0.000,"sim=0.00, kw=0.00 (0/10)"
2025-11-12 14:42:42,responses_audio\resp_20251112-144242_8b6336.webm,,0.000,"sim=0.00, kw=0.00 (0/10)"
2025-11-12 15:10:32,responses_audio\resp_20251112-151027_92cd96.webm,Hello hello hello  What is your name?  Hello  Who is this?  I am going to check this.  I will check it.,0.128,"sim=0.21, kw=0.00 (0/10)"
2025-11-12 15:20:43,responses_audio\resp_20251112-152005_96de15.webm,"Namar churash maasakya  Banji,ananol Iaba  Banji,anom Myesya.  Banji,anom Myesya.  Banji,anom Myesya.  Banji,anom Myesya.  Banji,anom Meesya.  Banji yaeb야발,daebka,daebka.  Banji,anom Iesya.  Banji,anom Myesya.",0.039,"sim=0.06, kw=0.00 (0/10)"
2025-11-12 15:27:36,responses_audio\resp_20251112-152732_4a46a1.webm,"Hello, my name is Akshudavasti and I am 21 years old and my father's name is Akshudavasti.",0.178,"sim=0.30, kw=0.00 (0/10)"
2025-11-12 15:28:04,responses_audio\resp_20251112-152758_b2bfcf.webm,"Hi, my name is Niketam Rukta. He's my best friend, and he's also my best friend.",0.193,"sim=0.32, kw=0.00 (0/10)"
2025-11-12 15:28:56,responses_audio\resp_20251112-152848_ea75ac.webm,"Hello, my name is Akshadavastri and I am 21 years old.",0.235,"sim=0.39, kw=0.00 (0/10)"
2025-11-12 15:29:34,responses_audio\resp_20251112-152925_72a271.webm,My name is Nikaetan Gopta.,0.225,"sim=0.38, kw=0.00 (0/10)"
2025-11-12 15:30:28,responses_audio\resp_20251112-153025_d4aa40.webm,بھی اللہ مائنے میں از اچھے دوستی,0.103,"sim=0.17, kw=0.00 (0/10)"
2025-11-12 15:30:40,responses_audio\resp_20251112-153037_0a8fa6.webm,اپنے او دادیس میں ہلو مائنے میں از اکشہ دو اس کی,0.085,"sim=0.14, kw=0.00 (0/10)"
2025-11-12 15:31:07,responses_audio\resp_20251112-153102_ea4807.webm,Hello,0.064,"sim=0.11, kw=0.00 (0/10)"
2025-11-12 15:32:07,responses_audio\resp_20251112-153152_55b5e7.webm,اللہ ہمی نہیں کرنے اذا ہلے ہمی ہیں,0.100,"sim=0.17, kw=0.00 (0/10)"
2025-11-12 15:32:10,responses_audio\resp_20251112-153207_67deb1.webm,"Hello, my name is Akshadavasthi.",0.189,"sim=0.31, kw=0.00 (0/10)"
2025-11-12 15:32:29,responses_audio\resp_20251112-153223_660c76.webm,Jelko taan?  Minä emis niketen gupta?,0.144,"sim=0.24, kw=0.00 (0/10)"
2025-11-12 15:33:14,responses_audio\resp_20251112-153311_feb202.webm,What's wrong with you?  I'm feeling like...,0.257,"sim=0.36, kw=0.10 (1/10)"
2025-11-12 15:35:09,responses_audio\resp_20251112-153505_1294c7.webm,"So, my name is Akshid Bheesu.  Bullna, hello, my name is Akshid Bheesu.",0.154,"sim=0.26, kw=0.00 (0/10)"
2025-11-12 15:35:34,responses_audio\resp_20251112-153531_63d915.webm,"Hello, my name is Akshaad Finsel.",0.203,"sim=0.34, kw=0.00 (0/10)"
2025-11-12 20:03:43,responses_audio\resp_20251112-200331_4ee5b4.webm,"Hello, my name is Ms. Karay.",0.182,"sim=0.30, kw=0.00 (0/10)"
2025-11-12 20:04:12,responses_audio\resp_20251112-200408_d38615.webm,"Hello, my name is Akshattu Awasthi.",0.164,"sim=0.27, kw=0.00 (0/10)"
2025-11-12 20:04:29,responses_audio\resp_20251112-200425_d21485.webm,Hallo! Mein Name ist Akshat Ares T.,0.214,"sim=0.36, kw=0.00 (0/10)"
2025-11-12 20:04:41,responses_audio\resp_20251112-200438_3b6ca8.webm,"Hello, my name is Card.",0.216,"sim=0.36, kw=0.00 (0/10)"
2025-11-12 20:05:08,responses_audio\resp_20251112-200505_c35bf6.webm,Transport must be a very garal I get it here.,0.088,"sim=0.15, kw=0.00 (0/10)"
2025-11-12 20:06:15,responses_audio\resp_20251112-200612_9ed9e3.webm,"Hello, my name is Carl, and I'm going to work in Amazon Company.",0.176,"sim=0.29, kw=0.00 (0/10)"
